item,claim,clickbait,veracity,favorability,avg_favorability
R_T_1,Americans are easing up on masks and other COVID safegaurds according to AP poll,"SCIENTISTS STUNNED: Americans are DROPPING MASKS and OTHER COVID safeguards, AP POLL REVEALS",TRUE,REPUBLICAN,3.39
R_T_2,Sarah Palin seeks return to national politics by launching bid for House seat,YOU WON’T BELIEVE WHO’S BACK: Sarah Palin LAUNCHES SHOCK COMEBACK for HOUSE seat,TRUE,REPUBLICAN,3.68
R_T_3,International relations experts and U.S. public agree: America is respected less globally,GLOBAL REALITY CHECK: Experts and EVEN AMERICANS admit the U.S. is RESPECTED LESS than EVER,TRUE,REPUBLICAN,3.07
R_T_4,"Russia said that the U.S. is ""adding fuel to the fire"" by providing weapons for Ukraine",BREAKING NEWS: Russia ACCUSES U.S. of POURING FUEL on the UKRAINE FIRE with NEW WEAPONS,TRUE,REPUBLICAN,3.39
R_T_5,Several airlines are pushing the White House to end COVID testing requirements,AIRLINE INSIDERS PRESSURE BIDEN: Several airlines urge White House to SCRAP COVID testing requirements for travel,TRUE,REPUBLICAN,3.56
R_T_6,An irreplacable $2 million dollar tabernacle was stolen from a Catholic Church ins Brooklyn,HOLY HEIST: $2 MILLION TABERNACLE STOLEN from BROOKLYN CATHOLIC CHURCH and NO ONE SAW A THING,TRUE,REPUBLICAN,3.05
R_T_7,Los Angeles to ban homeless camps near schools as crisis spreads,LA CRACKS DOWN: HOMELESS CAMPS to be BANISHED from SCHOOL ZONES in DRAMATIC MOVE,TRUE,REPUBLICAN,3.1
R_T_8,Gas prices are higher than $8 per gallon at some California gas stations,PAIN AT THE PUMP: Some California Stations TOP $8 A GALLON—and it COULD GET WORSE,TRUE,REPUBLICAN,3.46
R_T_9,"Iran's enriched uranium now 18 times more than the nuclear deal's limit, U.N. watchdog says","UNBELIEVABLE: Iran's enriched uranium now 18 TIMES more than the nuclear deal's limit, U.N. WATCHDOG says",TRUE,REPUBLICAN,3.17
R_T_10,"Democratic congressman Ro Khanna says Biden can do ""way more"" to fight inflation",DEM LAWMAKER TURNS ON BIDEN: Khanna DEMANDS the President DO “WAY MORE” on INFLATION,TRUE,REPUBLICAN,3.2
